restaurant name,restaurant type,cuisines type,rate (out of 5),avg cost (two people),area,city
Hitchki,Restaurant,"Modern Indian,North Indian,Chinese,Momos,Biryani,Continental,American,Fast Food",4.9,1200,First International Financial Centre-- Bandra Kurla Complex,Mumbai
Baba Falooda,Restaurant,"Desserts,Ice Cream,Beverages",4.4,400,Mahim,Mumbai
Chin Chin Chu,Restaurant,"Asian,Chinese",4.2,1800,Juhu,Mumbai
Butterfly High,Restaurant,Modern Indian,4.3,1000,Bandra Kurla Complex,Mumbai
BKC  DIVE,Restaurant,"North Indian,Chinese,Continental",4.4,1200,Bandra Kurla Complex,Mumbai
Flea Bazaar Café,Restaurant,"American,Asian,Street Food,North Indian,Lucknowi,Mexican,Chinese,Italian",4.2,800,Flea Bazaar Café,Mumbai
Persian Darbar,Restaurant,"Biryani,North Indian,Chinese,Mughlai",4.5,1300,Marol,Mumbai
Tanatan,Restaurant,Modern Indian,4.7,1500,Juhu,Mumbai
Cafe Safar,Restaurant,"Chinese,North Indian,Biryani",4.0,600,Oshiwara-- Andheri West,Mumbai
Plum by Bent Chair,Restaurant,Asian,4.7,1800,Kamala Mills Compound,Mumbai
Angrezi Dhaba,Restaurant,"North Indian,Chinese,Thai,European",4.5,1500,Dadar West,Mumbai
Raasta,Restaurant,"Continental,Seafood,Fast Food,Desserts,Italian,Finger Food",4.0,1200,Khar,Mumbai
Todi Mill Social,Restaurant,"American,North Indian,Chinese,Fast Food,Continental,Asian,Beverages",4.6,1400,Lower Parel,Mumbai
Burn - Bar & Kitchen,Restaurant,"Continental,Mexican,Italian,Chinese",4.1,1100,Bandra Kurla Complex,Mumbai
145 Bandra,Restaurant,"Mexican,American,Desserts,European,Modern Indian",4.2,1300,Pali Hill-- Bandra West,Mumbai
NAME,Restaurant,CUSINE_CATEGORY,RATING,PRICE,REGION,CITY
Cafe Zoe,Restaurant,"European,Italian,Burger,Salad,Healthy Food",4.1,2000,Lower Parel,Mumbai
Ustaadi,Restaurant,"Asian,Biryani,Chinese,North Indian,Mughlai,Middle Eastern",4.3,1200,Mumbai CST Area,Mumbai
Cafe Maaz,Restaurant,"Chinese,North Indian,Mughlai,Biryani,Seafood",4.0,350,Bhandup,Mumbai
Carter's Blue,Restaurant,"North Indian,Lebanese,Fast Food,Chinese",3.9,900,Malad West,Mumbai
Rajasthan,Restaurant,"North Indian,Mughlai,Chinese,Fast Food",3.8,700,Khar,Mumbai
Harry's Bar + Cafe,Restaurant,"Asian,Mexican,American",4.0,1500,Powai,Mumbai
New Ajwa Family Restaurant,Restaurant,"North Indian,Chinese,Mughlai,Kebab,Desserts",4.4,500,Marol,Mumbai
Singh Saab,Restaurant,"North Indian,Asian",4.5,1600,Chembur,Mumbai
Kasbah Grand,Restaurant,"North Indian,Mughlai,Chinese,Thai,Seafood",4.0,1400,Goregaon West,Mumbai
Elementaria Bakery Cafe,Restaurant,"Cafe,Desserts,Sandwich",4.1,800,Lower Parel,Mumbai
Angrezi Patiyalaa,Restaurant,"North Indian,Finger Food,American,Mexican,Chinese",4.5,1200,Andheri Lokhandwala-- Andheri West,Mumbai
Door No.1,Restaurant,"Asian,Italian,North Indian,Finger Food",4.4,1500,Reclamation-- Bandra West,Mumbai
Natural Ice Cream,Restaurant,"Desserts,Ice Cream",4.3,150,Vile Parle East,Mumbai
Punjab Grill,Restaurant,"North Indian,Mughlai,Beverages",4.4,2000,Palladium Mall-- Lower Parel,Mumbai
Locco Eatery & Bar,Restaurant,"North Indian,Continental,Lebanese,Italian",4.3,1400,CBD-Belapur,Mumbai
NAME,Restaurant,CUSINE_CATEGORY,RATING,PRICE,REGION,CITY
Hotel Annapoorna Refreshments,Restaurant,"Maharashtrian,Mughlai,Chinese",-,400,Ghansoli,Mumbai
Breadkart,Restaurant,Fast Food,3.6,400,Borivali West,Mumbai
Biryani 9,Restaurant,"Biryani,North Indian",NEW,600,Near Andheri East Station,Mumbai
The Lemon Grass,Restaurant,"North Indian,Chinese",3.4,300,Vasai,Mumbai
D Fusion Flavours,Restaurant,Chinese,NEW,350,Goregaon East,Mumbai
Chote Nawab,Restaurant,"North Indian,Chinese",4.0,550,Chembur,Mumbai
Hari Om Sai,Restaurant,"Beverages,Fast Food",3.4,300,Castle Mill-- Thane West,Mumbai
Nation Tadka,Restaurant,"North Indian,South Indian,Chinese,Fast Food",-,400,Worli,Mumbai
Persian Hub Family Restaurant,Restaurant,"Chinese,Mughlai,North Indian,Iranian",3.0,450,Malad West,Mumbai
Magdalena,Restaurant,"Bakery,Desserts",3.4,500,Parel,Mumbai
United Food Nation,Restaurant,"Fast Food,Burger,American,Beverages",4.1,500,Vasant Vihar-- Thane West,Mumbai
Frisbees,Restaurant,"Fast Food,American,Burger",4.3,600,Andheri Lokhandwala-- Andheri West,Mumbai
Bombay Vintage,Restaurant,"North Indian,South Indian,Maharashtrian",4.2,1300,Colaba,Mumbai
Arya Bhavan,Restaurant,"South Indian,Fast Food",4.0,400,Nariman Point,Mumbai
Chaubara 601,Restaurant,North Indian,4.2,1000,Naupada-- Thane West,Mumbai
NAME,Restaurant,CUSINE_CATEGORY,RATING,PRICE,REGION,CITY
Queen Margherita's Pizzeria,Restaurant,"Pizza,Fast Food",4.5,600,Malad West,Mumbai
The Burger Brasserie,Restaurant,"Cafe,Fast Food,Burger,Beverages",4.4,650,Andheri Lokhandwala-- Andheri West,Mumbai
Spice Republic,Restaurant,"Cafe,Continental,Mediterranean,Mexican,Italian,Chinese,Modern Indian,Fast Food",4.6,1200,Borivali West,Mumbai
Fleur - The Fern Goregaon,Restaurant,"Thai,Continental,North Indian",4.2,1200,Goregaon East,Mumbai
Cat Café Studio,Restaurant,"Cafe,Beverages",4.2,300,Versova-- Andheri West,Mumbai
Thotrin Cafe,Restaurant,"North Eastern,Chinese",4.2,650,Santacruz East,Mumbai
Udipi Vihar,Restaurant,"North Indian,Chinese,South Indian,Fast Food",3.8,450,Goregaon East,Mumbai
B MAD - The Restaurant,Restaurant,"North Indian,Italian,Mexican,Lebanese",4.2,1200,Mulund West,Mumbai
Landmark Restaurant Veg Diet,Restaurant,"North Indian,Chinese,South Indian,Fast Food",3.9,700,Malad West,Mumbai
Matka Khichdi,Restaurant,North Indian,4.1,400,Marol,Mumbai
Aavakay,Restaurant,"Andhra,South Indian",4.3,1000,Kandivali East,Mumbai
Little West Pizza,Restaurant,Pizza,4.6,600,Borivali West,Mumbai
Prashant Corner,Restaurant,"Mithai,Street Food",4.3,300,Panch Pakhadi-- Thane West,Mumbai
Viaan,Restaurant,"North Indian,Chinese",4.3,900,Mahakali,Mumbai
Deepak,Restaurant,"South Indian,North Indian,Chinese,Fast Food,Desserts,Beverages,Mithai",3.9,550,Borivali West,Mumbai
NAME,Restaurant,CUSINE_CATEGORY,RATING,PRICE,REGION,CITY
Sarvodaya Pure Veg,Restaurant,"Chinese,South Indian,North Indian,Street Food",3.9,700,Near Andheri East Station,Mumbai
Street Gourmet,Restaurant,"North Indian,Chinese,Street Food",3.7,600,Borivali West,Mumbai
Downtown China,Restaurant,"Chinese,Thai",4.8,750,Andheri Lokhandwala-- Andheri West,Mumbai
West Coast Grill,Restaurant,"American,Italian,Burger,Mexican",4.1,700,Airoli,Mumbai
Ray's Cafe & Pizzeria,Restaurant,"Italian,Pizza,Fast Food,Beverages",4.1,1400,Hill Road-- Bandra West,Mumbai
The Yellow Chilli,Restaurant,"North Indian,Mughlai",4.1,1300,Dadar West,Mumbai
Wok Express,Restaurant,"Chinese,Asian,Thai,Beverages",3.9,700,Pali Hill-- Bandra West,Mumbai
Kuai Kitchen,Restaurant,"Chinese,Japanese,Thai,Asian,Sushi",4.2,1500,Colaba,Mumbai
Dale's Eden Cake Shop,Restaurant,"Bakery,Desserts",4.1,600,Andheri Lokhandwala-- Andheri West,Mumbai
La Folie Lab,Restaurant,"Cafe,Healthy Food,Desserts,Beverages",4.2,1400,Hill Road-- Bandra West,Mumbai
Kusum Rolls,Restaurant,"North Indian,Rolls",4.1,250,Mira Road,Mumbai
Jimmy Boy,Restaurant,"Parsi,North Indian,Fast Food,Desserts",4.1,800,Fort,Mumbai
Ceremonial Kitchen & Co,Restaurant,"Seafood,Maharashtrian,North Indian,Chinese",4.6,1000,Ghodbunder Road,Mumbai
Markaz Restaurant,Restaurant,"North Indian,Chinese,Biryani",3.8,800,Jogeshwari,Mumbai
Royal Garden,Restaurant,"Chinese,North Indian,Mughlai",3.3,550,Malad West,Mumbai
NAME,Restaurant,CUSINE_CATEGORY,RATING,PRICE,REGION,CITY
New Mezban Restaurant,Restaurant,"Chinese,North Indian",3.3,500,Malad West,Mumbai
Vishwa Lunch Home,Restaurant,"North Indian,South Indian,Chinese",3.5,250,Vashi,Mumbai
Agrawal's Juice N Fast Food,Restaurant,"Fast Food,Juices",3.7,300,Ghatkopar East,Mumbai
Link  Way Restaurant,Restaurant,"North Indian,Chinese",-,500,Jogeshwari,Mumbai
Lajawab Kabab Corner,Restaurant,"Kebab,Fast Food",NEW,150,Sakinaka,Mumbai
Rajyog,Restaurant,"North Indian,Chinese,Seafood",3.6,800,Bandra East,Mumbai
Ruchi,Restaurant,"North Indian,Seafood,Chinese",3.2,500,Jogeshwari,Mumbai
Star Of China,Restaurant,Chinese,3.6,800,7 Bungalows-- Andheri West,Mumbai
Kababchini,Restaurant,"North Indian,Seafood,Malwani,Chinese",3.5,700,Borivali West,Mumbai
Renault Bar & Restaurant,Restaurant,"Chinese,North Indian,Thai,Fast Food,Seafood",3.8,650,Byculla,Mumbai
Hotel Amrut Punjab,Restaurant,"North Indian,Chinese",3.5,700,Kalyan,Mumbai
Sai Leela Hotel,Restaurant,"Mughlai,North Indian",-,600,Mira Road,Mumbai
Scooper N Shakker,Restaurant,"Desserts,Ice Cream",3.4,200,Bhayandar,Mumbai
China 65,Restaurant,"North Indian,Fast Food,South Indian",3.1,300,Malad East,Mumbai
Supreme Chinese,Restaurant,"Chinese,Fast Food",2.7,150,Sakinaka,Mumbai
NAME,Restaurant,CUSINE_CATEGORY,RATING,PRICE,REGION,CITY
The Fiesta,Restaurant,"American,Italian,Fast Food,Burger",4.0,600,Sakinaka,Mumbai
Tempting Food,Restaurant,"North Indian,South Indian,Mughlai,Chinese",2.5,500,Kandivali West,Mumbai
Mr Kalam,Restaurant,"Chinese,Mughlai",3.6,300,Charni Road,Mumbai
Appetite - Resto Bar,Restaurant,"North Indian,Chinese",3.7,700,Powai,Mumbai
Oriental Origins,Restaurant,"Chinese,Thai,Fast Food",3.7,400,Borivali East,Mumbai
Sirf 160,Restaurant,"North Indian,Continental,Italian,Chinese",3.5,650,Goregaon West,Mumbai
The Good Bowl,Restaurant,"Asian,Biryani,North Indian",3.7,500,Chandivali,Mumbai
Kitchen Table,Restaurant,"Continental,French,Indian,Malaysian,Mexican,Thai,European,Chinese",3.6,800,Khar,Mumbai
51 Rainbow Ice Cream & Shakes,Restaurant,"Desserts,Ice Cream,Beverages",3.6,300,Byculla,Mumbai
The Dark Kitchen,Restaurant,"Chinese,North Indian,Seafood",NEW,600,Manpada-- Thane West,Mumbai
Mokart,Restaurant,"Momos,Chinese,Fast Food",NEW,200,Khar,Mumbai
The Bukhara Kitchen,Restaurant,"North Indian,Biryani,Desserts",NEW,400,Kurla,Mumbai
China Hut,Restaurant,Chinese,3.5,400,Andheri Lokhandwala-- Andheri West,Mumbai
Chicago Waffles & Shakes,Restaurant,"Desserts,Beverages",NEW,150,Goregaon West,Mumbai
Chilli Dilli,Restaurant,"Asian,Chinese,North Indian,Street Food,Thai",3.9,400,Goregaon East,Mumbai
NAME,Restaurant,CUSINE_CATEGORY,RATING,PRICE,REGION,CITY
Roshan Bakery,Restaurant,"Bakery,Fast Food",3.6,250,Mohammad Ali Road,Mumbai
Shree Prasad Lunch Home,Restaurant,"North Indian,Chinese,Street Food,Seafood",3.6,600,Chembur,Mumbai
Fudboy,Restaurant,"Thai,Chinese",3.4,500,Vasai,Mumbai
Pink Sugar,Restaurant,"Bakery,Desserts",3.9,500,Carter Road-- Bandra West,Mumbai
Goregaon Kitchen,Restaurant,"North Indian,Chinese",NEW,400,Goregaon East,Mumbai
Twisted L.A,Restaurant,"Sandwich,Healthy Food,Desserts,Beverages",4.0,400,Khar,Mumbai
Cafe Falak,Restaurant,"Chinese,Biryani,Rolls",3.5,500,Near Andheri East Station,Mumbai
The Burger Pit,Restaurant,American,4.4,1200,Borivali West,Mumbai
Stir Fry Grill,Restaurant,"Chinese,Thai",4.2,850,Malad West,Mumbai
Tazza,Restaurant,"Fast Food,Chinese",3.9,350,Mahim,Mumbai
Saroj,Restaurant,"South Indian,North Indian,Chinese,Street Food,Beverages",4.1,550,Chembur,Mumbai
Popular,Restaurant,"Fast Food,Sandwich,Beverages",4.1,350,Lower Parel,Mumbai
Rolls On Coals,Restaurant,"Fast Food,Rolls",4.0,300,Vasai,Mumbai
Too Much Drama,Restaurant,"Fast Food,Roast Chicken,BBQ",4.7,600,Vashi,Mumbai
Italy in a Box,Restaurant,"Italian,Pizza,Continental",4.1,750,Khar,Mumbai
NAME,Restaurant,CUSINE_CATEGORY,RATING,PRICE,REGION,CITY
Cafe Monza,Restaurant,"Italian,American,Salad,Mexican",4.5,1000,Kharghar,Mumbai
DP's The Fast Food Centre,Restaurant,"Chinese,Fast Food,South Indian,Street Food,North Indian",3.9,1000,Matunga East,Mumbai
Shobhaa Only Veg,Restaurant,"Chinese,North Indian",3.9,800,Parel,Mumbai
Kathi Kabab Roll,Restaurant,"Fast Food,Rolls",4.1,250,Lower Parel,Mumbai
Cakes & Rolls,Restaurant,"Desserts,Bakery",4.0,250,Marol,Mumbai
MM Mithaiwala,Restaurant,"Mithai,Street Food",3.9,300,Malad West,Mumbai
Casa De Cafe,Restaurant,"Cafe,Fast Food",3.7,500,Worli,Mumbai
PEFE,Restaurant,"Cafe,Italian,Mexican,Continental,Beverages,Fast Food",4.3,850,Andheri Lokhandwala-- Andheri West,Mumbai
Taco Bell,Restaurant,"Mexican,American",3.7,550,Oberoi Mall-- Goregaon East,Mumbai
The Budapest Bakehouse,Restaurant,"Desserts,Fast Food",4.1,350,Khar,Mumbai
King's Shawarma,Restaurant,Fast Food,4.0,250,Mohammad Ali Road,Mumbai
Mystery Box,Restaurant,"Chinese,Thai",4.2,550,Malad West,Mumbai
Mama Mia!,Restaurant,"Chinese,Pizza,Fast Food",3.9,600,Charni Road,Mumbai
Laxman's Om Vada Pav,Restaurant,Street Food,4.0,100,Ghatkopar East,Mumbai
Blue Tokai Coffee Roasters,Restaurant,Cafe,4.1,550,Pali Hill-- Bandra West,Mumbai
NAME,Restaurant,CUSINE_CATEGORY,RATING,PRICE,REGION,CITY
Da Capo Cafe & Bistro,Restaurant,"Continental,Mexican,Cafe,Desserts,Italian,Pizza,Salad,Lebanese",4.4,850,Kharghar,Mumbai
Gypsy Corner,Restaurant,"Street Food,Maharashtrian,Fast Food",4.1,300,Dadar Shivaji Park,Mumbai
Mao The Family Restaurant,Restaurant,"Chinese,North Indian",3.9,900,Azad Nagar,Mumbai
Sizzle House Dine In,Restaurant,"North Indian,Italian,Mexican,Continental,Pizza",3.9,1000,Dadar Shivaji Park,Mumbai
Biryani Guru,Restaurant,"Biryani,North Indian,Mughlai",4.2,750,CBD-Belapur,Mumbai
The Northern Vibe,Restaurant,"Momos,Rolls,Fast Food",4.8,300,Galleria Shopping Centre-- Powai,Mumbai
Radha Krishna,Restaurant,"South Indian,North Indian,Chinese,Fast Food",3.8,600,Borivali West,Mumbai
Indiana Water's,Restaurant,"Chinese,North Indian,Seafood,Italian,Continental",4.3,1200,Korum Mall-- Khopat-- Thane West,Mumbai
Flax,Restaurant,"Healthy Food,Beverages",4.0,700,Lower Parel,Mumbai
Navya - The Regale by Tunga,Restaurant,"North Indian,Chinese,Thai,Continental",4.1,850,Mahakali,Mumbai
The Pantry,Restaurant,"Cafe,Healthy Food,Salad",4.0,1400,Fort,Mumbai
Felicita,Restaurant,"Fast Food,Italian,Bakery,Pizza,Beverages",4.2,600,Borivali West,Mumbai
Vanilla Beans,Restaurant,"Bakery,Desserts",4.3,500,Bandra Talao-- Bandra West,Mumbai
Farmhouse Sea N Sand,Restaurant,"North Indian,Continental,Seafood,Chinese",4.2,1100,Vasai,Mumbai
Nav Gomantak,Restaurant,"Seafood,Maharashtrian,Goan,Konkan",4.3,800,Panch Pakhadi-- Thane West,Mumbai
NAME,Restaurant,CUSINE_CATEGORY,RATING,PRICE,REGION,CITY
Batman Night Kitchen,Restaurant,"Fast Food,Mughlai,Kebab",3.2,300,Ulhasnagar,Mumbai
Tosha,Restaurant,"Biryani,North Indian",2.7,300,4 Bungalows,Mumbai
Pushpa Punjab,Restaurant,"North Indian,Chinese,Mughlai",2.8,650,Palms Water Business & Leisure Club-- Kalyan West,Mumbai
Heritage,Restaurant,"Chinese,North Indian",2.7,500,Kopar Khairane,Mumbai
Kebab Junction,Restaurant,"Mughlai,North Indian,Seafood,Biryani",3.5,400,Goregaon East,Mumbai
New Cafe Gulshan,Restaurant,"North Indian,Mughlai",3.2,250,Juhu,Mumbai
Yahoo The Chinese Cuisine,Restaurant,Chinese,3.2,400,Santacruz East,Mumbai
The Coastal Family Restaurant And Bar,Restaurant,"North Indian,South Indian,Chinese,Malwani,Mangalorean,Chettinad",3.7,1000,CBD-Belapur,Mumbai
Midnight Express,Restaurant,"Burger,Fast Food,Italian,Chinese,Salad,Asian,Thai",4.0,450,Mahakali,Mumbai
Red Chilly Restaurant,Restaurant,Chinese,-,400,Malad West,Mumbai
Roll Factory,Restaurant,"Fast Food,Lebanese,Rolls",NEW,250,Jogeshwari,Mumbai
Hotel Sneha,Restaurant,"Mughlai,North Indian,Seafood,Chinese",3.4,500,Mulund West,Mumbai
Hotel Shashikant,Restaurant,"Chinese,North Indian,Mughlai,Seafood",3.6,800,Mahakali,Mumbai
Golden Plate,Restaurant,"North Indian,Chinese",3.5,500,Dahisar East,Mumbai
Lata Restaurant,Restaurant,"North Indian,Chinese,Fast Food",3.8,600,Kandivali West,Mumbai
NAME,Restaurant,CUSINE_CATEGORY,RATING,PRICE,REGION,CITY
Royal Garden,Restaurant,"North Indian,Chinese,Seafood",3.4,700,Owale-- Thane West,Mumbai
Hungry Nights,Restaurant,"Biryani,North Indian,Chinese",3.6,400,Haware Centurion Mall-- Seawoods,Mumbai
The Kitchen Crew,Restaurant,"North Indian,Chinese",3.7,500,Malad West,Mumbai
Being Panda,Restaurant,Chinese,3.7,450,Marol,Mumbai
Daily Cafe,Restaurant,"North Indian,Continental,Chinese",3.4,1500,Juhu,Mumbai
Shree Narayan Fine Dinning,Restaurant,"North Indian,South Indian,Chinese,Fast Food",3.6,900,Borivali East,Mumbai
Kitchen in Kloud,Restaurant,"North Indian,Chinese,Continental,Healthy Food,Biryani,Italian,Burger,Rolls",4.0,600,Oshiwara-- Andheri West,Mumbai
Kebabwala,Restaurant,"North Indian,Chinese",3.4,550,Kopar Khairane,Mumbai
Mugshot Kitchen & Bar,Restaurant,"North Indian,Chinese,Seafood",3.5,850,Kandivali East,Mumbai
Bhukha Bhediya,Restaurant,"Chinese,Continental,North Indian",4.0,600,Goregaon West,Mumbai
Dessert Therapy,Restaurant,Desserts,3.7,250,Kandivali West,Mumbai
Sarovar Restaurant & Bar,Restaurant,"North Indian,Continental,Chinese",3.8,1000,Mumbai Central,Mumbai
Ronak Fine Dine,Restaurant,"North Indian,Chinese",3.7,850,Mira Road,Mumbai
Hotel Tunga,Restaurant,"North Indian,Chinese",3.4,300,Ghodbunder Road,Mumbai
Powaikar's Cafe & Restaurant,Restaurant,"North Indian,Chinese,Malwani,Maharashtrian,Seafood",3.3,400,Powai,Mumbai
NAME,Restaurant,CUSINE_CATEGORY,RATING,PRICE,REGION,CITY
Pot De Fusion,Restaurant,"North Indian,Chinese,Continental,Indian,Thai,Sandwich,Pizza,Lebanese",4.1,500,Goregaon East,Mumbai
House of Lloyd,Restaurant,"Goan,Seafood,BBQ",4.2,2500,Juhu,Mumbai
The Market Project by PizzaExpress,Restaurant,"Italian,Continental",4.3,1200,Phoenix Marketcity-- Kurla,Mumbai
D:OH!,Restaurant,"Fast Food,Italian,Beverages",3.9,1200,Andheri Lokhandwala-- Andheri West,Mumbai
Culinary Tales,Restaurant,"Chinese,European,Continental,Salad,Italian,Pizza",4.7,1200,Veera Desai Area,Mumbai
Duma Dum Mast Kalandar,Restaurant,Sindhi,4.3,700,Chembur,Mumbai
Bachelorr's,Restaurant,"Beverages,Fast Food,Desserts,Ice Cream,Juices",3.8,750,Chowpatty,Mumbai
Malhar Lunch Home,Restaurant,"North Indian,Seafood,Mughlai",4.4,900,Mira Road,Mumbai
Quench - All Day Pub,Restaurant,"Continental,Chinese,Asian,Italian,Pizza",4.0,1600,Juhu,Mumbai
Terttulia,Restaurant,"Italian,Continental",4.1,1400,Dadar Shivaji Park,Mumbai
Dum & Curry,Restaurant,"Mughlai,North Indian,Chinese",4.7,700,Powai,Mumbai
Third Eye Cafe,Restaurant,"Continental,Burger,Chinese,Italian,North Indian",4.2,900,Vashi,Mumbai
Mehman Nawazi,Restaurant,North Indian,3.9,1450,Powai,Mumbai
Meraki,Restaurant,"Chinese,Burmese,Thai",3.9,700,Lower Parel,Mumbai
Eat Play Love,Restaurant,"Italian,Fast Food",4.3,600,Ghatkopar East,Mumbai
NAME,Restaurant,CUSINE_CATEGORY,RATING,PRICE,REGION,CITY
Food Magic,Restaurant,"Fast Food,Rolls,Beverages",NEW,250,Khar,Mumbai
24 Pie,Restaurant,Bakery,3.2,500,Chembur,Mumbai
Hotel Mayur,Restaurant,"Chinese,North Indian,Seafood",3.1,450,Kopar Khairane,Mumbai
Jalsaa Food Corner,Restaurant,"Chinese,Fast Food",3.5,450,Dahisar East,Mumbai
Sips N Bite,Restaurant,"American,Desserts,Fast Food",3.5,300,Kurla,Mumbai
JumboKing,Restaurant,"Fast Food,Burger",3.5,250,Versova-- Andheri West,Mumbai
Himalaya Punjab,Restaurant,"North Indian,Chinese",3.5,800,Old Panvel,Mumbai
Prabhu Ice Cream,Restaurant,"Ice Cream,Desserts,Beverages",3.9,250,Mulund West,Mumbai
Rehmani,Restaurant,"Chinese,Seafood,North Indian,Biryani",3.7,400,Chembur,Mumbai
Hazara Restaurant & Bar,Restaurant,"North Indian,Chinese,Mughlai,Seafood",3.5,600,Sion,Mumbai
Krème de la Krème - The Gelateria,Restaurant,"Desserts,Ice Cream,Beverages",4.1,300,Vile Parle East,Mumbai
Aroma Family Restaurant & Bar,Restaurant,"North Indian,Mughlai,Chinese",3.7,700,Juhu,Mumbai
Flip Bar & Kitchen,Restaurant,"Chinese,North Indian",3.9,1400,Chembur,Mumbai
The Tangy Tandoor,Restaurant,"North Indian,Mughlai,Rolls",3.9,700,Andheri Lokhandwala-- Andheri West,Mumbai
Parimal's Kitchen,Restaurant,"Chinese,North Indian",2.5,500,Dahisar East,Mumbai
NAME,Restaurant,CUSINE_CATEGORY,RATING,PRICE,REGION,CITY
The China Village,Restaurant,"Chinese,Seafood,Thai",3.6,650,Khar,Mumbai
Tokyo Treat,Restaurant,"Japanese,Sushi",3.6,700,Tardeo,Mumbai
WTF!,Restaurant,"North Indian,Chinese,Continental",3.7,1500,7 Bungalows-- Andheri West,Mumbai
Green Tadka,Restaurant,"North Indian,Chinese,South Indian,Fast Food,Desserts,Beverages",NEW,700,Goregaon West,Mumbai
Archana Restaurant,Restaurant,"Chinese,North Indian,South Indian,Fast Food,Beverages",3.8,800,Mulund West,Mumbai
Satkar Rice Plate House,Restaurant,"Malwani,Seafood,Biryani,Maharashtrian",4.1,500,Goregaon East,Mumbai
Hrezzo,Restaurant,"North Indian,Chinese,Continental",4.1,1000,Ghatkopar West,Mumbai
Joss,Restaurant,"Japanese,Asian",4.1,2500,Santacruz West,Mumbai
Veg Canteen,Restaurant,"North Indian,Continental,South Indian,Beverages",4.3,1100,Manpada-- Thane West,Mumbai
Gypsy Chinese,Restaurant,"Chinese,Thai,Seafood",3.9,1000,Dadar Shivaji Park,Mumbai
Daawat,Restaurant,"North Indian,Chinese,Mughlai,Fast Food",NEW,600,Airoli,Mumbai
Laxmi Balaji Snacks Corner,Restaurant,Fast Food,4.3,250,Goregaon West,Mumbai
Nomada,Restaurant,American,3.9,1300,Versova-- Andheri West,Mumbai
Zaika Restaurant & Party Hall,Restaurant,"North Indian,Chinese,Beverages",4.5,1000,Bhayandar,Mumbai
Royal China,Restaurant,"Asian,Chinese",4.4,2500,Fort,Mumbai
NAME,Restaurant,CUSINE_CATEGORY,RATING,PRICE,REGION,CITY
India Bistro,Restaurant,"North Indian,Mughlai,Biryani",4.4,1600,Upvan-- Thane West,Mumbai
Le Café,Restaurant,"Cafe,European,Italian,Beverages,Salad",4.3,1200,Hotel Jewel of Chembur-- Chembur,Mumbai
Mani's Lunch Home,Restaurant,South Indian,4.1,400,Chembur,Mumbai
Sadguru Veg Diet,Restaurant,"North Indian,Chinese",3.8,650,Chembur,Mumbai
Trupti,Restaurant,"South Indian,Fast Food,Maharashtrian,North Indian",4.0,250,Dadar West,Mumbai
Govinda's Restaurant,Restaurant,"North Indian,Chinese",4.1,900,Juhu,Mumbai
Pride Kitchen Hyderabadi Biryani,Restaurant,"Biryani,Mughlai",3.8,500,Kopar Khairane,Mumbai
Whacko Taco,Restaurant,Mexican,4.1,400,Versova-- Andheri West,Mumbai
Dhaba Cafe,Restaurant,"Cafe,Italian,Burger,Sandwich,Coffee,Pizza,North Indian,Beverages",4.1,500,Lower Parel,Mumbai
Natural Fresh Ice-Cream,Restaurant,"Desserts,Ice Cream",3.7,350,Near Andheri West Station,Mumbai
The American Joint,Restaurant,"Healthy Food,American,Mexican,Salad,Burger",3.9,1400,Bandra Kurla Complex,Mumbai
The Butter Kitchen,Restaurant,"North Indian,Mughlai",4.1,1500,Powai,Mumbai
Chulha,Restaurant,"North Indian,Chinese,Biryani",4.2,900,Vashi,Mumbai
Mocambo Cafe,Restaurant,"Italian,Continental",4.0,1400,Fort,Mumbai
JP's Lunch Home,Restaurant,"Malwani,South Indian,North Indian",4.0,500,Goregaon East,Mumbai
NAME,Restaurant,CUSINE_CATEGORY,RATING,PRICE,REGION,CITY
Dum Matka,Restaurant,"North Indian,Biryani",3.8,750,Galleria Shopping Centre-- Powai,Mumbai
Kanakia Darbar Restaurant,Restaurant,"Seafood,Chinese,North Indian",3.7,800,Mira Road,Mumbai
Nakabandi,Restaurant,"Wraps,Biryani,North Indian,Kebab,Desserts,Salad,Pizza",NEW,500,Powai,Mumbai
Merwans Cake Stop,Restaurant,"Bakery,Fast Food,Desserts",4.1,250,Borivali West,Mumbai
Al-Falah Shawarma,Restaurant,Lebanese,4.0,250,Borivali West,Mumbai
RK's Meals N More,Restaurant,"North Indian,South Indian,Healthy Food",4.4,400,Khar,Mumbai
Dumpling Delights,Restaurant,Momos,4.3,200,Matunga East,Mumbai
Pine Restaurant,Restaurant,"Chinese,North Indian",3.9,500,Mazgaon,Mumbai
Farmhouse Global Cuisine Restaurant,Restaurant,"North Indian,Continental,Seafood,Italian",4.1,1000,Vasai,Mumbai
Silver Oaks,Restaurant,"Chinese,Continental,Mughlai,North Indian,Kebab,Italian",3.9,1500,Malad West,Mumbai
Cafe Irani Chaii,Restaurant,"Parsi,Iranian",4.3,400,Mahim,Mumbai
On Toes,Restaurant,"North Indian,Italian,Chinese",3.4,1500,Malad West,Mumbai
Cafe Orritel,Restaurant,"North Indian,Chinese",3.8,1000,Veera Desai Area,Mumbai
Sanjhi,Restaurant,"Chinese,Thai,Street Food,Fast Food",3.9,500,Dahisar East,Mumbai
Ashok Vada Pav Stall,Restaurant,Street Food,4.4,100,Prabhadevi,Mumbai
